# Er [keV]  dR/dEr H1 [1/keV/decay]  C12  C13  O16  Na23
2.600332E-01  3.159614E+06  1.882784E+05  1.126573E+03  1.536363E+05  2.168652E+04
2.660901E-01  3.132280E+06  1.899102E+05  2.201857E+03  1.500015E+05  1.885340E+04
2.722882E-01  3.084649E+06  1.826287E+05  1.748286E+03  1.504871E+05  2.017253E+04
2.786306E-01  2.969751E+06  1.832027E+05  2.628447E+03  1.399648E+05  1.984477E+04
2.851207E-01  2.901637E+06  1.778767E+05  3.981355E+03  1.485944E+05  2.144794E+04
2.917620E-01  2.853661E+06  1.742042E+05  2.384640E+03  1.414468E+05  1.983016E+04
2.985580E-01  2.783798E+06  1.785791E+05  2.207708E+03  1.279244E+05  1.827492E+04
3.055124E-01  2.722588E+06  1.656446E+05  2.397172E+03  1.380771E+05  2.025610E+04
3.126287E-01  2.655226E+06  1.604685E+05  2.459736E+03  1.303660E+05  1.932650E+04
3.199107E-01  2.610010E+06  1.711238E+05  1.602497E+03  1.240791E+05  1.922996E+04
3.273624E-01  2.557422E+06  1.578324E+05  1.454161E+03  1.333354E+05  1.789737E+04
3.349876E-01  2.457669E+06  1.520535E+05  2.076935E+03  1.169642E+05  2.098797E+04
3.427905E-01  2.409311E+06  1.446398E+05  1.816010E+03  1.242364E+05  1.559632E+04
3.507751E-01  2.354364E+06  1.539789E+05  1.879065E+03  1.195294E+05  1.743354E+04
3.589457E-01  2.328520E+06  1.486376E+05  2.142341E+03  1.240517E+05  1.530243E+04
3.673066E-01  2.259765E+06  1.430610E+05  2.691739E+03  1.213276E+05  1.764585E+04
3.758623E-01  2.217679E+06  1.412659E+05  2.143344E+03  1.154483E+05  1.675705E+04
3.846173E-01  2.173482E+06  1.475710E+05  1.904141E+03  1.151053E+05  1.542355E+04
3.935762E-01  2.135545E+06  1.344426E+05  2.046878E+03  1.128574E+05  1.674718E+04
4.027437E-01  2.092753E+06  1.388380E+05  2.000285E+03  1.082882E+05  1.709334E+04
4.121248E-01  2.025924E+06  1.304353E+05  1.688196E+03  1.120429E+05  1.528261E+04
4.217245E-01  1.967218E+06  1.334575E+05  1.215618E+03  1.056720E+05  1.519523E+04
4.315477E-01  1.930754E+06  1.339835E+05  2.206188E+03  1.099700E+05  1.467964E+04
4.415997E-01  1.880586E+06  1.259584E+05  2.073047E+03  1.037353E+05  1.359919E+04
4.518859E-01  1.850663E+06  1.293308E+05  1.620687E+03  1.029947E+05  1.588273E+04
4.624117E-01  1.796183E+06  1.242488E+05  1.346226E+03  9.969995E+04  1.338307E+04
4.731826E-01  1.749261E+06  1.201823E+05  1.857293E+03  9.975212E+04  1.369754E+04
4.842045E-01  1.721089E+06  1.133629E+05  1.815016E+03  9.982588E+04  1.535201E+04
4.954830E-01  1.685386E+06  1.146993E+05  1.404180E+03  9.334102E+04  1.345057E+04
5.070243E-01  1.641822E+06  1.129551E+05  1.227773E+03  9.266076E+04  1.379439E+04
5.188344E-01  1.606990E+06  1.087607E+05  1.835027E+03  8.942230E+04  1.340982E+04
5.309196E-01  1.583722E+06  1.058711E+05  1.655314E+03  8.607634E+04  1.186309E+04
5.432863E-01  1.523407E+06  1.093251E+05  1.145825E+03  9.018313E+04  1.240187E+04
5.559411E-01  1.494856E+06  1.062438E+05  1.844282E+03  8.615430E+04  1.225130E+04
5.688906E-01  1.461601E+06  1.024093E+05  1.866669E+03  8.554491E+04  1.197243E+04
5.821418E-01  1.418833E+06  1.007072E+05  1.446762E+03  8.693151E+04  1.081926E+04
5.957016E-01  1.401105E+06  1.022260E+05  1.229417E+03  8.169476E+04  1.161799E+04
6.095773E-01  1.374919E+06  1.011606E+05  1.261504E+03  8.349952E+04  1.195425E+04
6.237762E-01  1.338338E+06  9.386802E+04  1.115380E+03  8.054217E+04  1.086028E+04
6.383058E-01  1.310857E+06  9.092817E+04  1.204727E+03  8.100352E+04  1.078517E+04
6.531738E-01  1.273562E+06  9.311911E+04  1.737924E+03  7.590806E+04  1.295034E+04
6.683882E-01  1.261063E+06  9.012289E+04  1.424435E+03  7.670033E+04  1.134069E+04
6.839570E-01  1.205267E+06  9.165855E+04  1.124316E+03  7.913045E+04  1.204625E+04
6.998884E-01  1.191173E+06  9.203119E+04  9.417632E+02  7.282969E+04  1.088260E+04
